#ies_format_version: 1.0
#file: 20260204_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec61850_measurement1;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.stVal
#005;	iec61850_measurement2;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.ctlModel
#006;	iec61850_measurement3;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Beh.stVal
#007;	iec61850_measurement4;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Health.stVal
#008;	iec61850_measurement5;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Loc.stVal
#009;	modbus_register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
#010;	modbus_register2;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec61850_measurement1;	iec61850_measurement2;	iec61850_measurement3;	iec61850_measurement4;	iec61850_measurement5;	modbus_register1;	modbus_register2
20260204;	123852;	1770188932.000;	     err8;	     err8;	     err8;	     err8;	     err8;	      0;	      0
20260204;	123856;	1770188936.000;	     err8;	     err8;	     err8;	     err8;	     err8;	      0;	      0
20260204;	123900;	1770188940.000;	     err8;	     err8;	     err8;	     err8;	     err8;	      0;	      0
20260204;	123904;	1770188944.000;	     err7;	     err7;	     err7;	     err7;	     err7;	      0;	      0
20260204;	123908;	1770188948.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123912;	1770188952.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123916;	1770188956.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123920;	1770188960.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123924;	1770188964.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123928;	1770188968.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123932;	1770188972.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123936;	1770188976.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123940;	1770188980.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123944;	1770188984.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123948;	1770188988.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	123952;	1770188992.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
