#ies_format_version: 1.0
#file: 20260204_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	iec61850_measurement1;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.stVal
#005;	iec61850_measurement2;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Mod.ctlModel
#006;	iec61850_measurement3;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Beh.stVal
#007;	iec61850_measurement4;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Health.stVal
#008;	iec61850_measurement5;	FALSE;	TRUE;	0;	other;	DOUBLE,9. Readings for Loc.stVal
#009;	modbus_register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
#010;	modbus_register2;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	iec61850_measurement1;	iec61850_measurement2;	iec61850_measurement3;	iec61850_measurement4;	iec61850_measurement5;	modbus_register1;	modbus_register2
20260204;	123956;	1770188996.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124000;	1770189000.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124004;	1770189004.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124008;	1770189008.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124012;	1770189012.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124016;	1770189016.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124020;	1770189020.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124024;	1770189024.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124028;	1770189028.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124032;	1770189032.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124036;	1770189036.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124040;	1770189040.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124044;	1770189044.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124048;	1770189048.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124052;	1770189052.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124056;	1770189056.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124100;	1770189060.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124104;	1770189064.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124108;	1770189068.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124112;	1770189072.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124116;	1770189076.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124120;	1770189080.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124124;	1770189084.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124128;	1770189088.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124132;	1770189092.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124136;	1770189096.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124140;	1770189100.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124144;	1770189104.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	   err9;	   err9
20260204;	124148;	1770189108.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124152;	1770189112.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124156;	1770189116.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124200;	1770189120.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124204;	1770189124.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124208;	1770189128.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124212;	1770189132.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124216;	1770189136.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124220;	1770189140.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124224;	1770189144.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124228;	1770189148.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124232;	1770189152.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124236;	1770189156.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124240;	1770189160.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124244;	1770189164.000;	   +1.000;	   +0.000;	   +1.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124248;	1770189168.000;	   +0.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124252;	1770189172.000;	   +0.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124256;	1770189176.000;	   +0.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124300;	1770189180.000;	   +0.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124304;	1770189184.000;	   +0.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124308;	1770189188.000;	 +100.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124312;	1770189192.000;	 +100.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124316;	1770189196.000;	 +100.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124320;	1770189200.000;	 +100.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124324;	1770189204.000;	 +100.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124328;	1770189208.000;	 +100.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124332;	1770189212.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124336;	1770189216.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124340;	1770189220.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124344;	1770189224.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124348;	1770189228.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124352;	1770189232.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124356;	1770189236.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124400;	1770189240.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124404;	1770189244.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124408;	1770189248.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124412;	1770189252.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124416;	1770189256.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124420;	1770189260.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124424;	1770189264.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124428;	1770189268.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124432;	1770189272.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124436;	1770189276.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124440;	1770189280.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124444;	1770189284.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124448;	1770189288.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124452;	1770189292.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124456;	1770189296.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124500;	1770189300.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124504;	1770189304.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124508;	1770189308.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124512;	1770189312.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124516;	1770189316.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124520;	1770189320.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124524;	1770189324.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124528;	1770189328.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124532;	1770189332.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124536;	1770189336.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124540;	1770189340.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124544;	1770189344.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124548;	1770189348.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124552;	1770189352.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124556;	1770189356.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124600;	1770189360.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124604;	1770189364.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124608;	1770189368.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124612;	1770189372.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124616;	1770189376.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124620;	1770189380.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124624;	1770189384.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124628;	1770189388.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124632;	1770189392.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124636;	1770189396.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124640;	1770189400.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124644;	1770189404.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124648;	1770189408.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124652;	1770189412.000;	  +55.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124656;	1770189416.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124700;	1770189420.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124704;	1770189424.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124708;	1770189428.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124712;	1770189432.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124716;	1770189436.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124720;	1770189440.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124724;	1770189444.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124728;	1770189448.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124732;	1770189452.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124736;	1770189456.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124740;	1770189460.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124744;	1770189464.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124748;	1770189468.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124752;	1770189472.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124756;	1770189476.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124800;	1770189480.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124804;	1770189484.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124808;	1770189488.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124812;	1770189492.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124816;	1770189496.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124820;	1770189500.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124824;	1770189504.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124828;	1770189508.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124832;	1770189512.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124836;	1770189516.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124840;	1770189520.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124844;	1770189524.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124848;	1770189528.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124852;	1770189532.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124856;	1770189536.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124900;	1770189540.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124904;	1770189544.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124908;	1770189548.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124912;	1770189552.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124916;	1770189556.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124920;	1770189560.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124924;	1770189564.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124928;	1770189568.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124932;	1770189572.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124936;	1770189576.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124940;	1770189580.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124944;	1770189584.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124948;	1770189588.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124952;	1770189592.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	124956;	1770189596.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125000;	1770189600.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125004;	1770189604.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125008;	1770189608.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125012;	1770189612.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125016;	1770189616.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125020;	1770189620.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125024;	1770189624.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125028;	1770189628.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125032;	1770189632.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125036;	1770189636.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125040;	1770189640.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125044;	1770189644.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125048;	1770189648.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125052;	1770189652.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125056;	1770189656.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125100;	1770189660.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125104;	1770189664.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125108;	1770189668.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125112;	1770189672.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125116;	1770189676.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125120;	1770189680.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125124;	1770189684.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125128;	1770189688.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125132;	1770189692.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125136;	1770189696.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125140;	1770189700.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125144;	1770189704.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125148;	1770189708.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125152;	1770189712.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125156;	1770189716.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125200;	1770189720.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125204;	1770189724.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125208;	1770189728.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125212;	1770189732.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125216;	1770189736.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125220;	1770189740.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125224;	1770189744.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125228;	1770189748.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125232;	1770189752.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125236;	1770189756.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125240;	1770189760.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125244;	1770189764.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125248;	1770189768.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125252;	1770189772.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125256;	1770189776.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
20260204;	125300;	1770189780.000;	  +12.000;	   +0.000;	   +5.000;	   +1.000;	   +0.000;	      0;	      0
